,main_rubric,rubric,title,text
2259,Происшествия,Происшествия,На НПЗ в Ангарске случился пожар,"Очередной крупный пожар, на этот раз на нефтеперерабатывающем заводе в Иркутской области."
2260,Происшествия,Происшествия,Ещё на одном нефтеперерабатывающем заводе в России произошёл взрыв,Сегодня около 6 утра произошёл пожар на нефтеперерабатывающем заводе в Ангарске Иркутской области.
2261,Происшествия,Происшествия,В Ангарске локализовали пожар площадью 2500 квадратных метров на нефтезаводе,В Ангарске локализовали пожар площадью 2500 квадратных метров на нефтезаводе.
2262,Происшествия,Происшествия,"В Ангарске последствия пожара закончили ликвидировать, а следствие продолжается","Ангарск, 15.12.22 (ИА «Телеинформ»), - В 15.54 завершена ликвидация последствий пожара на промышленной площадке НПЗ в Ангарске."
2263,Происшествия,Происшествия,Горит НПЗ «Роснефти»,Сегодня ночью на НПЗ компании «Роснефть» в Иркутской области прогремел взрыв.
2264,Происшествия,Происшествия,Москвичка сняла 14-летней дочери квартиру для занятия проституцией,"В российской столице правоохранителям удалось задержать женщину, которая арендовала своей 14-летней дочери квартиру, чтобы та занималась проституцией."
2265,Происшествия,Происшествия,"В Москве задержали мать, снявшую квартиру 14-летней дочери для занятия проституцией","В Москве правоохранители задержали женщину, арендовавшую для 14-летней дочери квартиру с целью занятия проституцией."
2266,Происшествия,Происшествия,В Москве мать сняла 14-летней дочери квартиру для занятия проституцией,Секс-услуги сутенерша заставляла оказывать 14-летнюю дочь.
2267,Происшествия,Происшествия,"В Москве мать сняла квартиру 14-летней дочери, чтобы она занималась проституцией","Заработанными деньгами распоряжалась сама мать В Москве задержали мать 14-летней девушки, которая занималась сутенёрством."
2268,Происшествия,Происшествия,Москвичка сняла 14-летней дочери квартиру для занятия проституцией,"Как стало известно «МК», в 2019 году москвичка разместила в Интернете фотографию дочери и объявление о том, что девочка оказывает интимные услуги за деньги."
2269,Происшествия,Происшествия,Объявлен приговор бойцу ММА Новоселову по делу об изнасиловании 18-летней девушки,Боец смешанных единоборства ММА Максим Новоселов приговорен к пяти годам тюрьмы строгого режима по делу об изнасиловании 18-летней девушки.
2270,Происшествия,Происшествия,Получивший 5 лет за изнасилование боец ММА Новоселов представлялся «джентльменом»,"Чемпион Европы по боевому самбо и смешанным единоборствам, боец ММА Максим Новоселов, осужденный в четверг за изнасилование 18-летней девушки, получив 5 лет колонии, так и не признал вину."
2271,Происшествия,Происшествия,Суд в Москве отправил в колонию экс-бойца ММА Новоселова за избиение и изнасилование,Бывший боец ММА Максим Новоселов приговорен к пяти годам колонии за избиение и изнасилование девушки.
2272,Происшествия,Происшествия,Бойцу ММА Новоселову назначили пять лет колонии за сексуальное насилие,Суд в Москве приговорил бойца ММА Максима Новоселова к пяти годам колонии.
2273,Происшествия,Происшествия,Боец ММА Новоселов получил пять лет колонии за изнасилование,"Тушинский районный суд Москвы принял решение назначить пять колонии строгого режима бойцу смешанных единоборств Максиму Новоселову за избиение и изнасилование студентки, передает «360»."
2274,Происшествия,Происшествия,Столичный суд приговорил бойца ММА Новоселова к 5 годам колонии за изнасилование,"Тушинский районный суд столицы приговорил бойца ММА Максима Новоселова к пяти годам лишения свободы, признав его виновным в изнасиловании."
2275,Происшествия,Происшествия,Бойцу MMA из Челябинска дали 5 лет колонии за изнасилование девушки в подземном переходе,"Уроженец Челябинска, боец смешанных единоборств Максим Новоселов получил пять лет колонии строгого режима за изнасилование 18-летней девушки."
2276,Происшествия,Происшествия,Самбист Новоселов получил пять лет колонии за изнасилование студентки,Ранее судимый экс-чемпион Европы по боевому самбо и смешанным единоборствам Максим Новоселов приговорен к пяти годам колонии строгого режима за избиение и изнасилование 18-летней студентки.
2277,Происшествия,Происшествия,Бойцу ММА вынесли обвинительный приговор за изнасилование 18-летней девушки,Бойца ММА Максима Новоселова приговорили к 5 годам лишения свободы.
2278,Происшествия,Происшествия,«Бывало и хуже»: как проходил суд над бойцом ММА Максимом Новоселовым,"В четверг, 15 декабря, Тушинский районный суд столицы приговорил 49-летнего бойца ММА Максима Новоселова к пяти годам колонии строгого режима по делу об изнасиловании девушки."
2279,Происшествия,Происшествия,Бойца ММА Новоселова отправили в колонию за избиение и попытку изнасилования,Суд признал борца ММА Максима Новоселова виновным в деле по избиению и попытке инасилования 18-летней девушки.
2280,Происшествия,Происшествия,Бойца MMA Новоселова приговорили к пяти годам колонии за сексуальное насилие,Максим Новоселов Фото: Веленгурин Владимир / Комсомольская правда / East News Тушинский суд Москвы приговорил российского бойца MMA Максима Новоселова к пяти годам колонии строгого режима по обвинению в сексуальном насилии.
2281,Происшествия,Происшествия,Бойца ММА Новоселова посадили на пять лет за изнасилование студентки,Суд в Москве приговорил к пяти годам реального заключения в колонии строгого режима бойца смешанных единоборств (ММА) Максима Новоселова за нападение на 18-летнюю девушку.
2282,Происшествия,Происшествия,В Москве за изнасилование приговорили бойца ММА Новоселова,Тушинский суд Москвы признал бойца ММА Максима Новоселова виновным в изнасиловании.
2283,Происшествия,Происшествия,Российского бойца ММА посадили на пять лет за изнасилование,"""Новоселову назначено наказание в виде пяти лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима за совершение изнасилования и насильственные действия сексуального характера"", - сообщила в своем Telegram-канале столичная прокуратура."
2284,Происшествия,Происшествия,Бойца ММА Новоселова осудили за изнасилование,"Тушинский районный суд приговорил бойца ММА Максима Новоселова к пяти годам лишения свободы, сообщает РИА Новости Спорт."
2285,Происшествия,Происшествия,Бойца ММА Новоселова приговорили к пяти годам строго режима за изнасилование студентки,"Сегодня, 15 декабря, в Москве суд вынес приговор бойцу ММА Максиму Новоселову за избиение и изнасилование студентки."
2286,Происшествия,Происшествия,Боец ММА Новосёлов получил пять лет тюрьмы за изнасилование,Тушинский суд Москвы приговорил к пяти годам колонии бойца смешанных единоборств (MMA) Максима Новосёлова по делу об изнасиловании 18-летней девушки.
2287,Происшествия,Происшествия,Боец ММА Максим Новоселов получил пять лет колонии за изнасилование,49-летний боец ММА Максим Новоселов получил по решению Тушинского районного суда города Москвы пять лет колонии строгого режима за изнасилование.
2288,Происшествия,Происшествия,Бойца ММА Новоселова отправили за решетку,Фигуранту назначено наказание в виде 5 лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима за совершение изнасилования.
2289,Происшествия,Происшествия,Боец ММА Новоселов получил пять лет колонии строго режима по делу об изнасиловании,"Известный боец смешанных единоборств Максим Новоселов был приговорен к пяти годам колонии строгого режима по делу об изнасиловании 18-летней Анны Ч. Как пишет Telegram-канал Mash, Новоселов вину не признает, и обвиняет жертву в том, что своим заявлением она хочет его дискредитировать и прославиться."
2290,Происшествия,Происшествия,Суд приговорил бойца ММА Новоселова к 5 годам за изнасилование,"Тушинский суд Москвы приговорил к 5 годам колонии строгого режима бойца смешанных единоборств Максима Новосёлова по делу об изнасиловании, сообщили РАПСИ в пресс-службе столичной прокуратуры."
2291,Происшествия,Происшествия,Бойца ММА Максима Новоселова приговорили к пяти годам колонии за изнасилование,"Сначала государственный обвинитель в судебных прениях призывал назначить спортсмену наказание в виде шести лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима, однако суд ограничился пятью годами."
2292,Происшествия,Происшествия,Суд приговорил бойца ММА Новоселова к 5 годам колонии за изнасилование студентки,Тушинский суд вынес приговор бойцу смешанных единоборств и блогеру Максиму Новоселову по делу об изнасиловании 18-летней девушки.
2293,Происшествия,Происшествия,Суд в Москве приговорил бойца ММА Максима Новоселова к пяти годам колонии за изнасилование,"""Максиму Новоселову назначено наказание в виде 5 лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима за совершение изнасилования (ч. 1 ст. 131 УК РФ) и насильственных действий сексуального характера (ч. 1 ст. 132 УК РФ)"", - говорится в Телеграм-канале столичной прокуратуры."
2294,Происшествия,Происшествия,Боец ММА Максим Новоселов отправится на пять лет в колонию строгого режима,Боец ММА Максим Новоселов отправится на пять лет в колонию строгого режима за изнасилование18-летней девушки.
2295,Происшествия,Происшествия,Суд в Москве приговорил бойца ММА Новоселова к пяти годам колонии за изнасилование,"Российский боец смешанной стиля (ММА) Максим Новоселов получил обвинительный приговор по делу об изнасиловании, сообщает РЕН ТВ."
2296,Происшествия,Происшествия,Боец ММА получил пять лет за изнасилование студентки,Тушинский суд Москвы вынес приговор по делу бойца смешанных единоборств Максима Новоселова.
2297,Происшествия,Происшествия,Боец ММА получил пять лет колонии строгого режима за изнасилование девушки в надземном переходе в Подмосковье,Тушинский суд Москвы признал бойца смешанных единоборств (ММА) Максима Новоселова виновным в насильственных действиях сексуального характера по отношению к 18-летней девушке.
2298,Происшествия,Происшествия,Боец ММА Новоселов получил пять лет тюрьмы за изнасилование девушки после отдыха в ночном клубе,Боец ММА Максим Новоселов приговорен к пяти годам колонии.
2299,Происшествия,Происшествия,Боец ММА получил пять лет колонии за избиение и изнасилование студентки,"Тушинский суд Москвы приговорил к пяти годам колонии строгого режима бойца смешанных единоборств Максима Новоселова, признав его виновным в избиении и изнасиловании девушки, сообщает ТАСС."
2300,Происшествия,Происшествия,Российский боец ММА получил 5 лет колонии за избиение и изнасилование 18-летней девушки (ВИДЕО),"Сегодня, 15 декабря, боец смешанных боевых искусств Максим Новосёлов получил пять лет колонии строгого режима."
2301,Происшествия,Происшествия,Суд назначил пять лет бойцу ММА Новоселову за избиение и изнасилование студентки,Боец смешанных единоборств Максим Новоселов получил пять лет колонии строгого режима за избиение и изнасилование студентки.
2302,Происшествия,Происшествия,Российский боец ММА Новосёлов приговорён к пяти годам строгого режима за изнасилование,"Российский боец смешанных единоборств и чемпион Европы 2007 года по боевому самбо Максим Новосёлов приговорён к пяти годам колонии строгого режима по делу об изнасиловании, сообщает РЕН ТВ."
2303,Происшествия,Происшествия,Бойца ММА Максима Новоселова приговорили к 5 годам за изнасилование студентки,"Чемпиону Европы 2007 года по боевому самбо и смешанным единоборствам, бойцу ММА Максиму Новоселову назначено наказание в виде 5 лет лишения свободы в колонии строгого режима за изнасилование и совершение действий сексуального характера, сообщает пресс-служба прокуратуры Москвы."
2304,Происшествия,Происшествия,Бойца ММА Новоселова приговорили к пяти годам колонии строгого режима по делу об изнасиловании,Суд приговорил к пяти годам колонии строгого режима бойца ММА Максима Новоселова по делу об изнасиловании 18-летней девушки.
2305,Происшествия,Происшествия,Бойцу Новоселову дали 5 лет колонии строгого режима за изнасилование девушки в надземном переходе в Москве,"Боец смешанных единоборств Максим Новосёлов, ранее судимый и признанный опасным рецидивистом, был приговорён судом к пяти годам заключения в колонии строгого режима за изнасилование 18-летней девушки в Москве."
2306,Происшествия,Происшествия,Российского бойца ММА посадили за изнасилование,"Тушинский суд Москвы на пять лет отправил в колонию бойца смешанных единоборств Максима Новоселова по делу об изнасиловании, сообщает пресс-служба столичной прокуратуры."
2307,Происшествия,Происшествия,ЧП. Бойца ММА осудили за изнасилование на МКАД,"Пять лет в колонии строгого режима – такой приговор вынес Тушинский суд столицы, рассматривавший дело бойца ММА Максима Новоселова, которого обвиняли в изнасиловании 18-летеней девушки."
2308,Происшествия,Происшествия,Боец ММА Новоселов получил 5 лет колонии за избиение и изнасилование студентки,В ходе предварительного расследования и судебного следствия Новоселов виновным себя не признал.
2309,Происшествия,Происшествия,Боец ММА Новосёлов получил пять лет колонии за изнасилование и избиение студентки,Бойца ММА Максима Новосёлова приговорили к пяти годам колонии строгого режима по делу об избиении и изнасиловании 18-летней студентки в Москве.
2310,Происшествия,Происшествия,Боец ММА Новосёлов приговорён к пяти годам тюрьмы по делу об изнасиловании,"49-летний боец ММА Максим Новосёлов приговорён к пяти годам тюрьмы по делу об изнасиловании, об этом сообщает телеграм-канал Mash."
2311,Происшествия,Происшествия,Бойца ММА Новоселова приговорили к пяти годам за изнасилование,"«Новоселову назначено наказание в виде 5 лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима за совершение изнасилования и насильственные действия сексуального характера», — сообщили в столичной прокуратуре."
2312,Происшествия,Происшествия,Бойца ММА Максима Новоселова приговорили к пяти годам колонии за изнасилование студентки,Московский суд приговорил самбиста и бойца смешанных единоборств Максима Новоселова к пяти годам колонии строгого режима за изнасилование студентки.
2313,Происшествия,Происшествия,Суд в Москве дал пять лет бойцу ММА Новоселову за изнасилование,"Боец ММА Максим Новоселов, обвиняемый в изнасиловании, приговорен к пяти годам строгого режима, сообщает корреспондент «Известий» из здания Тушинского суда Москвы."
2314,Происшествия,Происшествия,Бойцу MMA Новоселову дали 5 лет строгого режима за изнасилование,Столичный суд приговорил бойца MMA Максима Новоселова к пяти годам колонии строгого режима за изнасилование.
2315,Происшествия,Происшествия,Бойца ММА Новоселова отправили в колонию строгого режима на пять лет за избиение и попытку изнасилования,"Громкое дело с участием бойца ММА Максима Новоселова завершилось, суд вынес приговор, и теперь боец будет отбывать наказание в местах не столь отдаленных."
2316,Происшествия,Происшествия,Бойца ММА отправили в колонию за изнасилование студентки,"Суд признал бойца ММА виновным как в изнасиловании, так и в насильственных действиях сексуального характера, отправив в колонию строгого режима."
2317,Происшествия,Происшествия,Суд приговорил бойца ММА Максима Новоселова к пяти годам колонии строгого режима,Тушинский районный суд признал бойца ММА Максима Новоселова виновным по делу об изнасиловании девушки и приговорил к пяти годам колонии строгого режима.
2318,Происшествия,Происшествия,Боец ММА Новоселов получил 5 лет колонии за изнасилование,Боец ММА Максим Новоселов приговорен к пяти годам колонии по делу об изнасиловании 18-летней девушки.
2319,Происшествия,Происшествия,Боец Новоселов приговорен к пяти годам колонии за изнасилование,Тушинский суд Москвы приговорил бойца смешанных единоборств Максима Новоселова к пяти годам колонии строгого режима.
2320,Происшествия,Происшествия,Боец ММА Новоселов получил пять лет тюрьмы по обвинению в изнасиловании,«Новоселову назначено наказание в виде пяти лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима за совершение изнасилования (ч. 1 ст. 131 УК России) и насильственных действий сексуального характера (ч. 1 ст. 132 УК).
2321,Происшествия,Происшествия,Московский суд приговорил бойца ММА Новоселова к пяти годам за изнасилование,"Тушинский суд Москвы приговорил к пяти годам лишения свободы, с отбыванием срока в колонии строгого режима, российского бойца смешанных единоборств Максима Новоселова."
2322,Происшествия,Происшествия,Бойца ММА Новоселова приговорили к пяти годам колонии за изнасилование студентки в Москве,Суд в Москве вынес приговор бойцу ММА и блогеру Максиму Новоселову по делу об изнасиловании 18-летней студентки медицинского университета.
2323,Происшествия,Происшествия,Боец ММА Новоселов получил пять лет колонии по делу об изнасиловании,"По данным следствия, в марте этого года студентка одного из московских вузов обвинила Новоселова в изнасиловании."
2324,Происшествия,Происшествия,Боец ММА Новоселов получил 5 лет строгого режима за изнасилование,"Боец ММА и чемпион Европы 2007 года по боевому самбо и смешанным единоборствам Максим Новоселов приговорен к пяти годам колонии строгого режима по делу об изнасиловании, сообщает «Вечерняя Москва»."
2325,Происшествия,Происшествия,Боец ММА Новосёлов получил пять лет колонии за изнасилование в надземном переходе,"По данным следствия, в ночь на 27 марта в одном из развлекательных заведений Московской области боец смешанных единоборств Максим Новосёлов предложил девушке отвезти её домой."
2326,Происшествия,Происшествия,Бойца ММА Максима Новоселова приговорили к 5 годам колонии за изнасилование,"Тушинский суд Москвы приговорил к пяти годам колонии строгого режима бойца смешанных единоборств Максима Новоселова, сообщает ТАСС."
2327,Происшествия,Происшествия,Бойца ММА Максима Новоселова приговорили к 5 годам колонии по делу об изнасиловании,Бойца смешанных единоборств Максима Новоселова приговорили к 5 годам лишения свободы в колонии строгого режима за совершение изнасилования и насильственных действий сексуального характера.
2328,Происшествия,Происшествия,Боец ММА Новоселов получил 5 лет за попытку изнасилования,Суд приговорил бойца ММА Максима Новоселова к пяти годам колонии строгого режима по делу об изнасиловании 18-летней девушки.
2329,Происшествия,Происшествия,Бойца ММА Максима Новоселова приговорили к 5 годам колонии за изнасилование,"Тушинский районный суд Москвы в четверг, 15 декабря, приговорил к 5 годам колонии строго режима бойца ММА, уроженца Челябинской области Максима Новоселова, признав его виновным в изнасиловании 18-летней девушки, передает из зала суда корреспондент MSK1.RU."
2330,Происшествия,Происшествия,Бойца ММА Новоселова приговорили к пяти годам колонии за изнасилование,"В четверг, 15 декабря, в столичной прокуратуре сообщили о наказании для бойца смешанных единоборств Максима Новоселова."
2331,Происшествия,Происшествия,Боец ММА Максим Новоселов получил пять лет колонии за изнасилование,Известный спортсмен Максим Новоселов признан виновным в изнасиловании 18-летней москвички и отправится в колонию.
2332,Происшествия,Происшествия,Бойца ММА Новоселова приговорили к пяти годам колонии за изнасилование студентки в Москве,Тушинский суд Москвы приговорил к 5 годам колонии бойца смешанных единоборств Максима Новоселова по делу об изнасиловании 18-летней девушки.
2333,Происшествия,Происшествия,Боец ММА Максим Новосёлов получил 5 лет колонии за избиение и изнасилование студентки,Боец смешанных единоборств Максим Новосёлов проведет пять лет в колонии строгого режима.
2334,Происшествия,Происшествия,Бойца ММА приговорили к пяти годам строгого режима за изнасилование 18-летней девушки,"Тушинский суд Москвы приговорил к пяти годам колонии строгого режима бойца ММА Максима Новоселова, передает корреспондент MSK1.RU из зала суда."
2335,Происшествия,Происшествия,Бойца ММА приговорили к 5 годам колонии за избиение и изнасилование девушки,Бойца ММА Максима Новикова приговорили к 5 годам колонии строгого режима за изнасилование и избиение девушки.
2336,Происшествия,Происшествия,Бойца ММА Новоселова приговорили к пяти годам колонии по делу об изнасиловании 18-летней девушки,"«Максиму Новоселову назначено наказание в виде пяти лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима за совершение изнасилования (ч. 1 ст. 131 УК РФ) и насильственные действия сексуального характера (ч. 1 ст. 132 УК РФ)», - рассказали в пресс-службе."
2337,Происшествия,Происшествия,Бойца ММА осудили на реальный срок за изнасилование девушки,Бойца смешанных единоборств Максима Новоселова признали виновным в избиении и изнасиловании девушки в Тушинском суде столицы.
2338,Происшествия,Происшествия,Суд приговорил бойца ММА Максима Новосёлова к 5 годам колонии строгого режима по делу об изнасиловании,По версии следствия Новосёлов избил и попытался изнасиловать свою 18-летнюю спутницу Анну Ч. с которой познакомился в подмосковном баре «Руки вверх».
2339,Происшествия,Происшествия,Боец ММА Новоселов получил пять лет колонии за избиение и изнасилование студентки,"Тушинский суд Москвы в четверг приговорил к пяти годам колонии строгого режима бойца смешанных единоборств Максима Новоселова, признав его виновным в избиении и изнасиловании девушки."
2340,Происшествия,Происшествия,Суд приговорил бойца ММА Максима Новоселова к пяти годам колонии строгого режима,Тушинский районный суд признал бойца ММА Максима Новоселова виновным по делу об изнасиловании девушки и приговорил к пяти годам колонии строгого режима.
2341,Происшествия,Происшествия,"Боец MMA, изнасиловавший 18-летнюю девушку в надземном переходе в Москве, получил 5 лет колонии",Максиму Новоселову назначено наказание в виде 5 лет лишения свободы с отбыванием наказания в исправительной колонии строгого режима за совершение изнасилования (ч. 1 ст. 131 УК РФ) и насильственных действий сексуального характера (ч. 1 ст. 132 УК РФ).
2342,Происшествия,Происшествия,Суд приговорил бойца MMA Новоселова к 5 годам колонии строгого режима за изнасилование,"Суд приговорил бойца MMA Максима Новоселова к пяти годам колонии строгого режима за изнасилование, передает корреспондент РЕН ТВ."
